Designator,Footprint,Quantity,Value,LCSC Part #
"Boot1, SW4",SW_SPST_PTS810,2,SW_Push,C116501
"C1, C10, C14, C15, C18, C19, C20, C21, C22, C23, C24, C28, C32, C33, C34, C36, C37, C38, C39, C40, C42, C44, C5, C7, C9",0402,25,100nF,C1525
"C11, C12",0402,2,15pF,C1548
"C13, C29",0402,2,2.2uF,C12530
"C16, C30, C31, C35, C41, C45",0402,6,1uF,C52923
C17,0603,1,22uF,C59461
C2,C_Elec_6.3x5.8,1,22uF,C445459
"C25, C4, C6",0402,3,10uF,C15525
"C26, C27",0402,2,47pF,C1567
C3,0805,1,10uF,C15850
C43,0402,1,10nF,C15195
D2,SOT-23,1,PMEG2005CT,C282562
"D5, D6, D7",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,3,WS2812B,C114586
"H1, H2, H3, H4",MountingHole_3.2mm_M3_ISO14580_Pad_TopOnly,4,MountingHole_Pad,
J1,JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,1,Conn_01x02_Socket,C163035
J10,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
J11,PinSocket_1x08_P2.54mm_Vertical,1,Conn_01x08,
"J12, J2, J3",USB_C_Receptacle_G-Switch_GT-USB-7010ASV,3,USB_C_Receptacle_USB2.0,C2988369
"J13, J15",PinSocket_2x09_P2.54mm_Vertical,2,Conn_02x09_Top_Bottom,
"J14, J6",PinSocket_1x09_P2.54mm_Vertical,2,Conn_01x09,
"J4, J5",JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,2,JST-XH,
J7,PinSocket_2x20_P2.54mm_Vertical,1,Conn_02x20_Counter_Clockwise,
L1,1008,1,4.7uH,C602016
"P1, P2, P3, P5, P6",CONN_B6B-ZR_JST,5,B6B-ZRLFSN,
P4,CONN_B6B-ZR_JST,1,S6B-ZRLFSN,
"Q2, Q5",SOT-23,2,BSS138,C52895
Q3,TO-263-2,1,STB55NF06T4,C472532
"R1, R2, R20, R21, R26, R27, R5, R6",0402,8,5K,C25905
"R14, R18",0402,2,1K,C11702
"R15, R16, R29, R30",0402,4,33,C25105
"R22, R23, R33, R34, R8",0402,5,2.2k,C25879
"R25, R28",0402,2,0,C21376
R32,0805,1,68k,C17801
R4,0402,1,22k,C25768
R7,0402,1,10k,C25744
RST1,SW_SPST_PTS645,1,SW_Push,C221871
SW1,1825232-1_TEC,1,CAS-120A1,
SWD1,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
TP1,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,1,TestPoint_2Pole,
U1,TSOT-23-6,1,AP63205WU-7,C2071056
U10,LGA14_2P5X3X0P91_TDK,1,ICM-42688-P,C1850418
U11,LGA-12_2x2mm_P0.5mm,1,LIS3MDL,C478483
U12,ESP32-CAM,1,ESP32-CAM,
U13,SOT-353_SC-70-5,1,MIC5365-3.3YC5,C3021118
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,C347222
"U3, U5, U6",WSON-12-1EP_3x2mm_P0.5mm_EP1x2.65_ThermalVias,3,DRV8835DSSR,C129328
U4,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U7,SOIC-8_5.275x5.275mm_P1.27mm,1,W25X40CLSS,C164122
U8,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1-N8R2,C2913204
U9,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,FT231XQ,C132159
Y1,XTAL_ABM8G-12.000MHZ-4Y-T3,1,FL1200060,C5290451
